length,p,frac_stopped
10,0.025,0.531
10,0.05,0.6579999999999999
10,0.075,0.73
10,0.1,0.834
10,0.125,0.875
10,0.15,0.913
10,0.175,0.933
10,0.2,0.951
20,0.025,0.614
20,0.05,0.777
20,0.075,0.893
20,0.1,0.943
20,0.125,0.978
20,0.15,0.986
20,0.175,0.992
20,0.2,1.0
30,0.025,0.698
30,0.05,0.906
30,0.075,0.971
30,0.1,0.993
30,0.125,0.992
30,0.15,0.999
30,0.175,1.0
30,0.2,1.0
40,0.025,0.808
40,0.05,0.958
40,0.075,0.992
40,0.1,0.996
40,0.125,1.0
40,0.15,1.0
40,0.175,1.0
40,0.2,1.0
50,0.025,0.87
50,0.05,0.987
50,0.075,0.996
50,0.1,1.0
50,0.125,1.0
50,0.15,1.0
50,0.175,1.0
50,0.2,1.0
